# ODT 1.0
# Table Start
# Title: mmArchive Data Table, Fri Jul 31 18:43:24 BST 2015
# Columns: \
# {Oxs_TimeDriver::Simulation time} Oxs_TimeDriver::mx Oxs_TimeDriver::my Oxs_TimeDriver::mz
# Units: \
# s               {}              {}              {}             
  2.2500000000000013e-10 0.78988005943086592 0.58875122815788705 -0.0017488201406546991
  2.3000000000000014e-10 0.78915406065599081 0.58969275044177172 -0.001495984360802691
  2.3500000000000012e-10 0.78854552834171465 0.59046389312151371 -0.0011295822632356846
  2.400000000000001e-10 0.78810579063564212 0.59100456198247586 -0.00066952670779227036
  2.4500000000000008e-10 0.78787696958732867 0.59126688699307217 -0.00014418016528709238
  2.5000000000000007e-10 0.7878875575312182 0.59121984346134226 0.00041137214572922357
  2.5500000000000005e-10 0.78814873836131261 0.59085293026335239 0.00095788925787574232
  2.6000000000000003e-10 0.78865210246631978 0.5901783735994699 0.0014546938458408123
  2.6500000000000002e-10 0.78936905888168385 0.58923196473359962 0.0018627561292921951
  2.7e-10         0.79025216012539734 0.58807202027079075 0.0021476666867153169
  2.7499999999999998e-10 0.79123853101386887 0.58677587929184494 0.0022826879732117567
  2.7999999999999996e-10 0.79225457320076909 0.58543494957746411 0.0022514706763765734
  2.8499999999999995e-10 0.79322197612821865 0.58414815062131986 0.0020500855693297913
  2.8999999999999993e-10 0.7940641317966125 0.58301473730075193 0.0016881919390038149
  2.9499999999999991e-10 0.79471277552073349 0.58212654301155797 0.0011889418142291884
  2.9999999999999989e-10 0.79511400142097644 0.58155979191579976 0.00058799520054814733
  3.0499999999999988e-10 0.79523300283059462 0.58136741870057806 -6.9007193591675309e-05
  3.0999999999999986e-10 0.79505738395012848 0.58157293081055028 -0.00073004318790950359
  3.1499999999999984e-10 0.79459830247074659 0.58216733187490943 -0.0013411358034337061
  3.1999999999999983e-10 0.79388996349819274 0.58310861548019788 -0.0018514267380558764
  3.2499999999999981e-10 0.7929869736138212 0.58432471818548437 -0.0022179068749074975
  3.2999999999999979e-10 0.79196013080626915 0.58571951111054721 -0.0024098769277300343
  3.3499999999999977e-10 0.79089058859942518 0.58718134164482938 -0.0024117325092986677
  3.3999999999999976e-10 0.78986302605927905 0.58859304210387364 -0.0022246375182943842
  3.4499999999999974e-10 0.78895838322884582 0.58984232285087002 -0.0018660478677654942
  3.4999999999999972e-10 0.78824669321391483 0.59083170047204114 -0.0013679680831720073
  3.549999999999997e-10 0.78778119453365736 0.59148672266525726 -0.00077357948354830344
  3.5999999999999969e-10 0.78759368077337266 0.59176243790193284 -0.00013291233740588701
  3.6499999999999967e-10 0.7876922301413285 0.59164629031944471 0.00050173624762021049
